Protein.Group,Genes
Q6P1N0,CC2D1A
Q6P1N0-2,CC2D1A
Q6P1N0;Q6P1N0-2,CC2D1A
Q6P1N9;E5RG17,TATDN1
Q6P1Q0;Q6P1Q0-7;Q6P1Q0-2;F8VZA2,LETMD1
Q6P1Q9;Q6P1Q9-2,METTL2B
Q6P1Q9;Q6P1Q9-2;Q96IZ6,METTL2A;METTL2B
Q6P1Q9;Q96IZ6,METTL2A;METTL2B
Q6P1R3;Q6P1R3-3;A0A6I8PS01,MSANTD2
Q6P1R4,DUS1L
Q6P1S2;Q6P1S2-2,C3orf33
Q6P1X6;H0YF29,C8orf82
Q6P2C8;A0A494C0K7,MED27
Q6P2C8;Q6P2C8-2,MED27
Q6P2C8;Q6P2C8-2;A0A494C0K7,MED27
Q6P2D0;Q6P2D0-2;J3KNQ1,ZFP1
Q6P2E9,EDC4
Q6P2E9;Q6P2E9-2,EDC4
Q6P2E9;Q6P2E9-2;I3L0V0,EDC4
Q6P2H3;Q6P2H3-2;Q6P2H3-4,CEP85
Q6P2H3;Q6P2H3-2;Q6P2H3-4;H7BZW2,CEP85
Q6P2I3,FAHD2B
Q6P2I3;Q96GK7,FAHD2A;FAHD2B
Q6P2P2;Q6P2P2-2,PRMT9
Q6P2Q9;A0A994J491;A0A994J6E8,PRPF8
Q6P3S1,DENND1B
Q6P3S1;Q6P3S1-2;Q6P3S1-3;Q6P3S1-5;B3KR95,DENND1B
Q6P3S6,FBXO42
Q6P3S6;X6RKU3,FBXO42
Q6P3W2;Q6P3W2-2,DNAJC24
Q6P3W7,SCYL2
Q6P3X3,TTC27
Q6P3X8;Q6P3X8-2,PGBD2
Q6P444,MTFR2
Q6P499;Q6P499-2,NIPAL3
Q6P4A7,SFXN4
Q6P4A7;Q6P4A7-3,SFXN4
Q6P4A7;Q6P4A7-3;B1AMV7,SFXN4
Q6P4E1;Q6P4E1-5;A0A3B3IRW9,GOLM2
Q6P4E1;Q6P4E1-5;Q6P4E1-2;A0A3B3IRW9,GOLM2
Q6P4E1;Q6P4E1-5;Q6P4E1-2;Q6P4E1-3,GOLM2
Q6P4E1;Q6P4E1-5;Q6P4E1-2;Q6P4E1-3;A0A3B3IRW9,GOLM2
Q6P4F2,FDX2
Q6P4F7,ARHGAP11A
Q6P4F7;Q6P4F7-3,ARHGAP11A
Q6P4H8;Q6P4H8-2;D6RBE3;D6RIE0,ATPSCKMT
Q6P4I2,WDR73
Q6P4I2;H0YMT3,WDR73
Q6P4Q7,CNNM4
Q6P4R8;Q6P4R8-3;E9PQ59,NFRKB
Q6P4R8;Q6P4R8-3;Q6P4R8-2,NFRKB
Q6P4R8;Q6P4R8-3;Q6P4R8-2;E9PQ59,NFRKB
Q6P521;O94988,FAM13A
Q6P582,MZT2A
Q6P582;Q6NZ67;B8ZZ87,MZT2A;MZT2B
Q6P587,FAHD1
Q6P597-2;Q6P597;Q6P597-3;K7EL76,KLC3
Q6P5Z2,PKN3
Q6P5Z2;Q16513-4;Q16513;Q16512;Q16512-2,PKN1;PKN2;PKN3
Q6P6B7,ANKRD16
Q6P6C2;Q6P6C2-3;K7ER58,ALKBH5
Q6P6C2;Q6P6C2-3;Q6P6C2-1,ALKBH5
Q6P6C2;Q6P6C2-3;Q6P6C2-1;K7ER58,ALKBH5
Q6P996-4;Q6P996-5,PDXDC1
Q6P9B6,MEAK7
Q6P9B6;H3BM75;H3BUB0,MEAK7
Q6P9B9,INTS5
Q6P9F7;A0A7I2RK03,LRRC8B
Q6P9H4;A0A5H1ZRR2,CNKSR3
Q6PCB5;Q6PCB5-2,RSBN1L
Q6PCB5;Q6PCB5-2;C9JM20,RSBN1L
Q6PCB6,ABHD17C
Q6PCD5,RFWD3
Q6PCE3,PGM2L1
Q6PCT2;Q6PCT2-3;Q6PCT2-2;H3BPZ0;H3BME1;H7C112,FBXL19
Q6PD62,CTR9
Q6PD62;H0YCE8,CTR9
Q6PD74,AAGAB
Q6PD74;Q6PD74-2,AAGAB
Q6PD74;Q6PD74-2;H0YL49,AAGAB
Q6PEV8;Q6PEV8-2,FAM199X
Q6PFW1;Q6PFW1-2;A0A8J8ZH50;B7WPL9;F8W9A8,PPIP5K1
Q6PGN9;Q6PGN9-2,PSRC1
Q6PGP7;A0A8V8TLT2;A0A8V8TMA8;A0A8V8TMB2,SKIC3
Q6PH81;Q6PH81-2,C16orf87
Q6PHR2;Q6PHR2-3;Q6PHR2-2;H3BPN6;H3BT78;H3BP85,ULK3
Q6PHR2;Q6PHR2-3;Q6PHR2-4,ULK3
Q6PHR2;Q6PHR2-3;Q6PHR2-4;Q6PHR2-2,ULK3
Q6PI26;F8WBC6;F8WDZ9,SHQ1
Q6PI26;Q6PI26-2,SHQ1
Q6PI47,KCTD18
Q6PI48,DARS2
Q6PI78,TMEM65
Q6PI98;Q6PI98-3,INO80C
Q6PI98;Q6PI98-3;Q6PI98-4;K7EIY8,INO80C
Q6PI98;Q6PI98-4;K7EIY8,INO80C
Q6PID6,TTC33
Q6PID6;A0A1B0GV67;A0A1B0GU95;A0A1B0GUJ4,TTC33
Q6PID8;Q6PID8-2,KLHDC10
Q6PID8;Q6PID8-2;C9JRX2,KLHDC10
Q6PII3;A0A0B4J1R8,CCDC174
Q6PII5-2,HAGHL
Q6PII5-2;B4DED4,HAGHL
Q6PIJ6,FBXO38
Q6PIJ6;Q6PIJ6-2,FBXO38
Q6PIU2;Q6PIU2-2;A0A0A0MTJ9,NCEH1
Q6PIW4,FIGNL1
Q6PIW4;Q6PIW4-2,FIGNL1
Q6PIY7;D6RAF2,TENT2
Q6PIY7;Q6PIY7-2;D6RAF2,TENT2
Q6PJ61,FBXO46
Q6PJ69,TRIM65
Q6PJF5-2,RHBDF2
Q6PJF5-2;Q6PJF5,RHBDF2
Q6PJG2;A0A1C7CYX1,MIDEAS
Q6PJG6,BRAT1
Q6PJG6;Q6PJG6-2,BRAT1
Q6PJG6;Q6PJG6-2;F8WDN5,BRAT1
Q6PJG9,LRFN4
Q6PJG9;E7ENX6,LRFN4
Q6PJI9,WDR59
Q6PJI9;Q6PJI9-3,WDR59
Q6PJI9;Q6PJI9-3;Q6PJI9-4,WDR59
Q6PJP8,DCLRE1A
Q6PJT7;Q6PJT7-2;Q6PJT7-5,ZC3H14
Q6PJW8-2;Q6PJW8,CNST
Q6PK04;I3L0U5,CCDC137
Q6PK18;Q6PK18-2,OGFOD3
Q6PK18;Q6PK18-2;K7ENS7;J3QRG1,OGFOD3
Q6PKC3;Q6PKC3-2,TXNDC11
Q6PKC3;Q6PKC3-2;I3L0Q4,TXNDC11
Q6PKG0,LARP1
Q6PKG0;A0A3B3ISF0;Q659C4-2;A0A994J4X5,LARP1;LARP1B
Q6PL18,ATAD2
Q6PL18;Q9ULI0;Q9ULI0-2,ATAD2;ATAD2B
Q6PL24,TMED8
Q6PML9,SLC30A9
Q6Q0C0,TRAF7
Q6QNY0,BLOC1S3
Q6QNY0;K7EN58,BLOC1S3
Q6QNY1;Q6QNY1-2;J3QRU7,BLOC1S2
Q6R327;Q6R327-3,RICTOR
Q6R327;Q6R327-3;Q6R327-4,RICTOR
Q6R327;Q6R327-3;Q6R327-4;D6R9S6,RICTOR
Q6RFH5;E9PS41,WDR74
Q6RFH5;Q6RFH5-2,WDR74
Q6RFH5;Q6RFH5-2;E9PS41,WDR74
Q6RI45,BRWD3
Q6RI45;Q8WWQ0;A0A8V8TPK0,BRWD3;PHIP
Q6RW13,AGTRAP
Q6RW13-2,AGTRAP
Q6RW13;Q6RW13-2,AGTRAP
Q6SPF0;E9PIW9,SAMD1
Q6STE5;Q6STE5-2,SMARCD3
Q6STE5;Q6STE5-2;Q92925;Q92925-2;Q92925-3;A0A8V8TLV3;J3KMX2,SMARCD2;SMARCD3
Q6STE5;Q6STE5-2;Q96GM5;Q96GM5-2,SMARCD1;SMARCD3
Q6STE5;Q6STE5-2;Q96GM5;Q96GM5-2;Q92925;Q92925-2;Q92925-3;A0A8V8TLV3;J3KMX2,SMARCD1;SMARCD2;SMARCD3
Q6T4R5-3,NHS
Q6T4R5;Q6T4R5-2,NHS
Q6T4R5;Q6T4R5-2;Q6T4R5-3;Q6T4R5-4;A0A087WU78,NHS
Q6TCH7;Q6TCH7-2;Q6TCH7-3;Q6TCH7-4;D6RDU4;F8W784,PAQR3
Q6TDP4;J3QLT4,KLHL17
Q6TFL4;Q6TFL4-2,KLHL24
Q6UB28,METAP1D
Q6UB98;Q6UB98-2,ANKRD12
Q6UB99,ANKRD11
Q6ULP2;Q6ULP2-6;Q6ULP2-8;Q6ULP2-9;A0A8Q3SIA4;A0A8Q3WKU6;A0A8Q3WM48,AFTPH
Q6UN15;A0A994J3L5;A0A994J3M0;A0A994J3S0;A0A994J3S6;A0A994J6B4,FIP1L1
Q6UUV7;Q6UUV7-3,CRTC3
Q6UUV9;Q6UUV9-2;Q6UUV9-3;M0QX46;M0QXN6,CRTC1
Q6UVJ0,SASS6
Q6UVK1,CSPG4
Q6UW02;E9PHG5,CYP20A1
Q6UW56;Q6UW56-3,ATRAID
Q6UW56;Q6UW56-3;Q6UW56-2;C9JA62,ATRAID
Q6UW63;A0A9L9PY35,POGLUT2
Q6UW68;K7ELQ9,TMEM205
Q6UW78,UQCC3
Q6UW88;Q6UW88-3;Q6UW88-4;A0PK19,EPGN
Q6UWB1,IL27RA
Q6UWE0;A0A6Q8PFL5;A0A6Q8PGB2;A0A6Q8PGT8,LRSAM1
Q6UWJ1;Q6UWJ1-2;Q6UWJ1-3,TMCO3
Q6UWJ1;Q6UWJ1-2;Q6UWJ1-3;A0A087WUP6,TMCO3
Q6UWL2;Q6UWL2-2;Q6UWL2-3;F8WAQ1;H3BLV4,SUSD1
Q6UWP2,DHRS11
Q6UWP2;Q6UWP2-3,DHRS11
Q6UWP7;Q6UWP7-3,LCLAT1
Q6UWP7;Q6UWP7-3;C9JXY8;Q6UWP7-2;C9K0C3,LCLAT1
Q6UWP7;Q6UWP7-3;Q6UWP7-2;C9K0C3,LCLAT1
Q6UWS5,PET117
Q6UWU4;Q6UWU4-2;Q6UWU4-3,C6orf89
Q6UWV2;Q6UWV2-2,MPZL3
Q6UWW8;Q6UWW8-2,CES3
Q6UWZ7;Q6UWZ7-2;D6REL5,ABRAXAS1
Q6UX04,CWC27
Q6UX07,DHRS13
Q6UX65,DRAM2
Q6UX72,B3GNT9
Q6UXD5-3;Q6UXD5-5;Q6UXD5-6;A0A087WYL5,SEZ6L2
Q6UXH1;Q6UXH1-4;Q6UXH1-5;Q6UXH1-6,CRELD2
Q6UXH1;Q6UXH1-4;Q6UXH1-5;Q6UXH1-6;Q6UXH1-2;Q6UXH1-3;A6PWM2,CRELD2
Q6UXM1;Q6UXM1-2;C9K080,LRIG3
Q6UXN9,WDR82
Q6UXN9;C9JBU3,WDR82
Q6UXT9,ABHD15
Q6UXU6,TMEM92
Q6UXV4,APOOL
Q6V1X1-6,DPP8
Q6V1X1-6;Q6V1X1;Q6V1X1-3;Q6V1X1-5,DPP8
Q6V1X1;Q6V1X1-3;Q6V1X1-5,DPP8
Q6VMQ6;Q6VMQ6-4;Q6VMQ6-5,ATF7IP
Q6VMQ6;Q6VMQ6-4;Q6VMQ6-5;Q6VMQ6-2,ATF7IP
Q6VN20;Q6VN20-3;R4GMX8,RANBP10
Q6VY07,PACS1
Q6VY07;Q6VY07-2,PACS1
Q6W2J9;Q6W2J9-2;Q6W2J9-4;H7C231,BCOR
Q6WCQ1-3,MPRIP
Q6WKZ4,RAB11FIP1
Q6WKZ4;Q6WKZ4-3,RAB11FIP1
Q6WKZ4;Q6WKZ4-3;E7EX40,RAB11FIP1
Q6WKZ4;Q7L804;Q7L804-2;Q6WKZ4-3;E7EX40,RAB11FIP1;RAB11FIP2
Q6WRX3,ZYG11A
Q6XE24;Q6XE24-2;Q6XE24-3;Q6XE24-4;Q6XE24-5;A0A1B0GUW5;C9J9B2;C9JIJ9,RBMS3
Q6XQN6;Q6XQN6-2;G5E977,NAPRT
Q6XQN6;Q6XQN6-3,NAPRT
Q6XQN6;Q6XQN6-3;Q6XQN6-2,NAPRT
Q6XQN6;Q6XQN6-3;Q6XQN6-2;G5E977,NAPRT
Q6XUX3;Q6XUX3-2,DSTYK
Q6XZF7,DNMBP
Q6XZF7;Q6XZF7-2;A0A1B0GTX1;A0A1C7CYY6,DNMBP
Q6Y1H2,HACD2
Q6Y1H2;C9JWG1;H7C4K8,HACD2
Q6Y288,B3GLCT
Q6Y2X3,DNAJC14
Q6Y2X3;F8VYY5,DNAJC14
Q6Y2X3;H0YHG0,DNAJC14
Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5;I1E4Y6,GIGYF2
Q6YBV0;E9PN09,SLC36A4
Q6YHK3,CD109
Q6YHU6;Q6YHU6-2;Q6YHU6-3,THADA
Q6YHU6;Q6YHU6-2;Q6YHU6-4,THADA
Q6YHU6;Q6YHU6-2;Q6YHU6-4;Q6YHU6-3,THADA
Q6YHU6;Q6YHU6-3,THADA
Q6YN16,HSDL2
Q6YP21;Q6YP21-3,KYAT3
Q6YP21;Q6YP21-3;A0A0A0MRN7,KYAT3
Q6ZMB5,TMEM184A
Q6ZMI0,PPP1R21
Q6ZMI0;Q6ZMI0-2,PPP1R21
Q6ZMI0;Q6ZMI0-2;Q6ZMI0-3,PPP1R21
Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5,PPP1R21
Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3,PPP1R21
Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3;F8WE40,PPP1R21
Q6ZMJ2;Q6ZMJ2-4,SCARA5
Q6ZMQ8;H7C175,AATK
Q6ZMT4;Q6ZMT4-2,KDM7A
Q6ZN18;Q6ZN18-2,AEBP2
Q6ZN18;Q6ZN18-2;Q6ZN18-3;A0A669KBL4;G5EA50,AEBP2
Q6ZN54;Q6ZN54-3;Q6ZN54-4;Q6ZN54-5,DEF8
Q6ZN55;Q6ZN55-2;A0A0C4DFM2,ZNF574
Q6ZNA4;Q6ZNA4-3,RNF111
Q6ZNA5;Q6ZNA5-2,FRRS1
Q6ZNB6,NFXL1
Q6ZNC8;Q6ZNC8-2,MBOAT1
Q6ZNC8;Q6ZNC8-2;Q6ZNC8-3,MBOAT1
Q6ZNE5,ATG14
Q6ZNJ1;Q6ZNJ1-3;A0A494C1V1,NBEAL2
Q6ZNW5,GDPGP1
Q6ZNW5;A0A286YET3,GDPGP1
Q6ZNX1,SHLD3
Q6ZPD9;Q6ZPD9-2;K7ELH8,DPY19L3
Q6ZQX7;Q6ZQX7-2;Q6ZQX7-3;Q6ZQX7-4;H7C5B9;I3L0T0,LIAT1
Q6ZRI6;Q6ZRI6-2;H3BMJ2,C15orf39
Q6ZRP7,QSOX2
Q6ZRP7;H0Y430,QSOX2
Q6ZRQ5,MMS22L
Q6ZRS2;Q6ZRS2-2,SRCAP
Q6ZRV2;A0A494C1T9,FAM83H
Q6ZS17-4;Q6ZS17;Q6ZS17-2;Q6ZS17-3;A0A0A0MTL6,RIPOR1
Q6ZS30;A0A804HKS6;A0A804HJ72,NBEAL1
Q6ZS86,GK5
Q6ZSJ8,C1orf122
Q6ZSS7,MFSD6
Q6ZSY5;A0A494C178,PPP1R3F
Q6ZSZ5;Q6ZSZ5-1;Q6ZSZ5-2;Q6ZSZ5-5;Q6ZSZ5-6;A0A087WZG4;A0A3B3IPE9;A0A590UK10,ARHGEF18
Q6ZT07,TBC1D9
Q6ZT12;Q6ZT12-4,UBR3
Q6ZT21;Q6ZT21-2,TMPPE
Q6ZTN6;Q6ZTN6-1,ANKRD13D
Q6ZTU2;Q6ZTU2-2;Q6ZTU2-4;Q6ZTU2-5;Q6ZTU2-6,EP400P1
Q6ZTW0,TPGS1
Q6ZU15;Q16181;Q16181-2;E7EPK1;E7ES33,SEPTIN14;SEPTIN7
Q6ZU35;A0A2R8Y6P1;F5H1N7,CRACD
Q6ZU65,UBN2
Q6ZU65;Q6ZU65-2,UBN2
Q6ZU65;Q6ZU65-2;H7C4P8,UBN2
Q6ZU80;Q6ZU80-1,CEP128
Q6ZUM4;Q6ZUM4-2;A0A0G2JNY3;A0A0G2JRG8;A0A8I5KVA8;E9PIR1;E9PNT2;E9PNX6,ARHGAP27
Q6ZUT1;Q6ZUT1-2;Q6ZUT1-3;E9PKA8;E9PSC8,NKAPD1
Q6ZUT6;Q6ZUT6-2;Q6ZUT6-4,CCDC9B
Q6ZUT9;Q6ZUT9-2;G3V1S3,DENND5B
Q6ZUT9;Q6ZUT9-2;G3V1S3;Q6IQ26;Q6IQ26-2;A0A7P0T9Z2;A0A7P0TAH5;A0A7P0Z4N9,DENND5A;DENND5B
Q6ZV73;Q6ZV73-2,FGD6
Q6ZVD8;Q6ZVD8-3;H3BMS5,PHLPP2
Q6ZVK8;Q6ZVK8-2,NUDT18
Q6ZVM7,TOM1L2
Q6ZVM7;Q6ZVM7-5,TOM1L2
Q6ZVM7;Q6ZVM7-5;Q6ZVM7-3;B7Z2U2,TOM1L2
Q6ZW31;Q6ZW31-2,SYDE1
Q6ZW49;H7BZI8,PAXIP1
Q6ZW49;Q6ZW49-1,PAXIP1
Q6ZW49;Q6ZW49-1;H7BZI8,PAXIP1
Q6ZW76;Q6ZW76-2;D3DUE4;F6WF08,ANKS3
Q6ZWJ1;E7EPP7,STXBP4
Q6ZWL3;Q6ZWL3-2,CYP4V2
Q6ZWT7,MBOAT2
Q6ZXV5;Q6ZXV5-2,TMTC3
Q6ZXV5;Q6ZXV5-2;F8VRY4,TMTC3
Q6ZYL4,GTF2H5
Q709C8;Q709C8-3,VPS13C
Q709C8;Q709C8-3;Q709C8-2;Q709C8-4,VPS13C
Q709F0;Q709F0-2,ACAD11
Q709F0;Q709F0-3,ACAD11
Q709F0;Q709F0-3;Q709F0-2,ACAD11
Q70CQ2,USP34
Q70CQ2;Q70CQ2-2,USP34
Q70CQ3;B3KUS5,USP30
Q70E73;C9K0J5,RAPH1
Q70EK8;A0A8I5KT61;A0A8J9FKG6,USP53
Q70EL1,USP54
Q70EL4;Q70EL4-4;Q70EL4-3;Q70EL4-2;V9GXZ5;V9GZ20,USP43
Q70HW3;Q70HW3-2;A0A8I5QKW7;H7C430;A0A8I5KS24;A0A8I5KTP7,SLC25A26
Q70IA6;Q70IA6-3,MOB2
Q70J99;Q70J99-3,UNC13D
Q70J99;Q70J99-3;K7EIH3,UNC13D
Q70SY1;Q70SY1-2,CREB3L2
Q70SY1;Q70SY1-2;Q96BA8-2,CREB3L1;CREB3L2
Q70UQ0,IKBIP
Q70UQ0-4,IKBIP
Q70UQ0-4;Q70UQ0,IKBIP
Q70Z53,FRA10AC1
Q712K3,UBE2R2
Q719H9;A0A2U3U043;J3KSG1;J3QRK1,KCTD1
Q719H9;A0A2U3U043;J3KSG1;J3QRK1;Q4G0X4;E9PJJ5;E9PK99;E9PMS5;E9PRT1,KCTD1;KCTD21
Q71DI3,H3C15
Q71F23;Q71F23-2,CENPU
Q71F23;Q71F23-2;Q71F23-3,CENPU
Q71F23;Q71F23-2;Q71F23-3;Q09GN1,CENPU
Q71F23;Q71F23-3;Q09GN1,CENPU
Q71F56;A0A3B3IRX3,MED13L
Q71RC2;Q71RC2-4;Q71RC2-5;Q71RC2-3,LARP4
Q71RC2;Q71RC2-4;Q71RC2-5;Q71RC2-3;Q71RC2-6,LARP4
Q71RC2;Q71RC2-4;Q71RC2-5;Q71RC2-6,LARP4
Q71RG4;Q71RG4-2;Q71RG4-3,TMUB2
Q71RG4;Q71RG4-2;Q71RG4-3;E7ESS3;K7EKW3,TMUB2
Q71SY5-4;M0QZQ2,MED25
Q71SY5-4;Q86YD1;Q86YD1-2;M0QZQ2;M0QY25,MED25;PTOV1
Q71UM5;H0YMV8,RPS27L
Q75N03,CBLL1
Q75QN2,INTS8
Q75QN2;Q75QN2-2,INTS8
Q765P7,MTSS2
Q765P7;Q765P7-2,MTSS2
Q76EJ3;Q76EJ3-2;A0A3B3IU97;Q5VZJ2,SLC35D2
Q76FK4;Q76FK4-2;F5H101,NOL8
Q76FK4;Q76FK4-4;F5H101,NOL8
Q76FK4;Q76FK4-4;Q76FK4-2,NOL8
Q76FK4;Q76FK4-4;Q76FK4-2;F5H101,NOL8
Q76I76;A0A3B3IS79;F5H527,SSH2
Q76L83;E7EWD6,ASXL2
Q76N32;A0A994J4E5;A0A994J534;A0A994J770,CEP68
Q76N89;Q76N89-2,HECW1
Q76N89;Q76N89-2;Q9P2P5;A0A2R8Y6F3,HECW1;HECW2
Q7KYR7;Q7KYR7-1;Q7KYR7-5,BTN2A1
Q7KYR7;Q7KYR7-1;Q7KYR7-5;Q7KYR7-4;Q7KYR7-6,BTN2A1
Q7KYR7;Q7KYR7-1;Q7KYR7-5;Q7KYR7-4;Q7KYR7-6;Q8WVV5;Q8WVV5-2;Q8WVV5-3;C9IY66;C9JNC3;H7BYC3,BTN2A1;BTN2A2
Q7KZ85,SUPT6H
Q7KZF4,SND1
Q7KZF4;H7C597,SND1
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;E7ETY4;E9PC69,MARK2
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7,MARK2
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7;E7ETY4;E9PC69,MARK2
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7;E7ETY4;E9PC69;P27448-2;P27448-7;J3KNR0,MARK2;MARK3
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7;E7ETY4;E9PC69;Q9P0L2-3;P27448-2;P27448-7;A0A7I2V550;J3KNR0,MARK1;MARK2;MARK3
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7;F5H4F6;E7ETY4;E9PC69,MARK2
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7;F5H4F6;E7ETY4;E9PC69;P27448-2;P27448-7;J3KNR0,MARK2;MARK3
Q7KZI7;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-5;Q7KZI7-9;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-10;Q7KZI7-2;Q7KZI7-7;F5H4F6;E7ETY4;E9PC69;Q9P0L2-3;A0A7I2V550,MARK1;MARK2
Q7KZN9;Q7KZN9-2,COX15
Q7KZN9;Q7KZN9-2;A0A3B3IRX1,COX15
Q7L014,DDX46
Q7L014;A0A0C4DG89,DDX46
Q7L099-3;Q7L099-4;Q7L099;Q7L099-2,RUFY3
Q7L0Y3,TRMT10C
Q7L0Y3;C9JVB6,TRMT10C
Q7L1Q6;Q7L1Q6-3;Q7L1Q6-4,BZW1
Q7L1Q6;Q7L1Q6-3;Q7L1Q6-4;Q9Y6E2;E7ETZ4,BZW1;BZW2
Q7L1T6,CYB5R4
Q7L1T6;A0A0A0MRM6,CYB5R4
Q7L1V2;Q7L1V2-2;E7EW32,MON1B
Q7L1W4,LRRC8D
Q7L1W4;E9PMF9,LRRC8D
Q7L211,ABHD13
Q7L266;A0A087WUG3;A0A087WZI5,ASRGL1
Q7L266;Q7L266-2,ASRGL1
Q7L273,KCTD9
Q7L273;K7ENB5;K7EQN1,KCTD9
Q7L2E3-2,DHX30
Q7L2E3-2;Q7L2E3,DHX30
Q7L2H7,EIF3M
Q7L2H7;Q7L2H7-2,EIF3M
Q7L2J0,MEPCE
Q7L2J0;Q7L2J0-2,MEPCE
Q7L2J0;Q7L2J0-2;A0A8Q3WKJ6,MEPCE
Q7L2K0;H3BND0,TEDC2
Q7L2Z9,CENPQ
Q7L3B6;B1AL69,CDC37L1
Q7L3T8,PARS2
Q7L3V2,RTL10
Q7L4E1,MIGA2
Q7L4E1;H7C474,MIGA2
Q7L4I2;Q7L4I2-2,RSRC2
Q7L4I2;Q7L4I2-2;E1B6W4;H0YGP9,RSRC2
Q7L523,RRAGA
Q7L523;Q5VZM2-2,RRAGA;RRAGB
Q7L576,CYFIP1
Q7L576;A0A0G2JQT1;A0A0G2JR96,CYFIP1
Q7L590;Q7L590-2;Q5T670,MCM10
Q7L592,NDUFAF7
Q7L592;Q7L592-2,NDUFAF7
Q7L5A8,FA2H
Q7L5A8;Q7L5A8-2,FA2H
Q7L5D6,GET4
Q7L5D6;Q7L5D6-2,GET4
Q7L5D6;Q7L5D6-2;C9JPA8,GET4
Q7L5L3,GDPD3
Q7L5L3;Q7L5L3-1,GDPD3
Q7L5N1;E7EM64,COPS6
Q7L5Y1,ENOSF1
Q7L5Y9;E7ESC7;B4DVN3,MAEA
Q7L622;G3V483;F5GX24,G2E3
Q7L775,EPM2AIP1
Q7L775;A0A096LPB0,EPM2AIP1
Q7L7V1;Q7L7V1-2,DHX32
Q7L7V1;Q7L7V1-2;X6RHK1,DHX32
Q7L7X3,TAOK1
Q7L7X3;Q7L7X3-2,TAOK1
Q7L7X3;Q9H2K8,TAOK1;TAOK3
Q7L7X3;Q9UL54-2;Q9UL54-3;Q7L7X3-2,TAOK1;TAOK2
Q7L804;Q7L804-2,RAB11FIP2
Q7L8J4,SH3BP5L
Q7L8L6,FASTKD5
Q7L8W6,DPH6
Q7L9L4;Q7L9L4-2;Q9H8S9,MOB1A;MOB1B
Q7LBC6,KDM3B
Q7LBC6;Q9Y4C1,KDM3A;KDM3B
Q7LFL8;D6RBE0;D6RDY2;E7EVI8,CXXC5
Q7LG56;Q7LG56-6;H0YAV1,RRM2B
Q7LGA3;Q7LGA3-2;Q7LGA3-3;A0A8I5KW95;A0A8I5QKN0,HS2ST1
Q7LGC8,CHST3
Q7RTN6;Q7RTN6-6;A0A1W2PP78;A0A1W2PPG2;A0A1W2PPJ9;A0A1W2PQF1,STRADA
Q7RTP0;Q7RTP0-2,NIPA1
Q7RTP6,MICAL3
Q7RTP6;O94851;O94851-1;O94851-3;O94851-4;O94851-6;O94851-5,MICAL2;MICAL3
Q7RTP6;Q8TDZ2;Q8TDZ2-4;Q8TDZ2-2,MICAL1;MICAL3
Q7RTS9;A0A6Q8PF81,DYM
Q7RTS9;J3QSE7;A0A6Q8PF81,DYM
Q7RTS9;Q7RTS9-2,DYM
Q7RTS9;Q7RTS9-2;A0A6Q8PF81,DYM
Q7RTV0,PHF5A
Q7RTV3;Q7RTV3-2,ZNF367
Q7Z2E3;Q7Z2E3-11;Q7Z2E3-7;Q7Z2E3-9,APTX
Q7Z2H8;Q7Z2H8-3;Q7Z2H8-4;E7EW39;E5RHG5,SLC36A1
Q7Z2K6;A0A8I5KUT1;A0A8I5KXJ0;A0A8I5KYJ3;A0A8I5QJH1;A0A8I5QL16;E7ER77,ERMP1
Q7Z2K8,GPRIN1
Q7Z2T5,TRMT1L
