Protein.Group,Genes
A0A7N4I394;O75400;F5H578,PRPF40A
A0A7P0RGI5;Q11206;Q11206-2;Q11206-3;Q11206-4;Q11206-5;Q11206-6;Q11206-7;A0A7I2V4V4;A0A7I2V5F3;A0A7I2V4F4;A0A7I2V4R4,ST3GAL4
A0A7P0T7Z5;Q8N3F8;A0A7P0T9P2;B0QY86;B0QY91,MICALL1
A0A7P0T890,DST
A0A7P0T8I3;Q8IYL3,C1orf174
A0A7P0T954;A0A7P0Z4G9;Q13619;Q13620;Q13620-1;A0A669KAX4;K4DI93;Q13620-3,CUL4A;CUL4B
A0A7P0T954;A0A7P0Z4G9;Q13620;Q13620-1;A0A669KAX4;K4DI93;Q13620-3,CUL4B
A0A7P0T954;Q13619;Q13620;Q13620-1;A0A669KAX4;K4DI93;Q13620-3,CUL4A;CUL4B
A0A7P0T954;Q13620;Q13620-1;A0A669KAX4;K4DI93,CUL4B
A0A7P0T954;Q13620;Q13620-1;A0A669KAX4;K4DI93;Q13620-3,CUL4B
A0A7P0T9K5;I3L2J0,CIC
A0A7P0T9M6;Q8N157,AHI1
A0A7P0T9W7;P11310;P11310-2;F6YB23;Q5T4U5,ACADM
A0A7P0TA12;Q99720,SIGMAR1
A0A7P0TA35;I3L514,P4HB
A0A7P0TA70;Q9Y312,AAR2
A0A7P0TAC5;P42858;A0A7P0TA78,HTT
A0A7P0TB23;P42785;P42785-2;B7Z7Q6;E9PNF7,PRCP
A0A7P0TB55,ACADM
A0A7P0TB55;P11310;P11310-2;F6YB23;Q5T4U5,ACADM
A0A7P0Z475;Q4AC94,C2CD3
A0A804H3B5,EFCAB14
A0A804H3B5;O75071,EFCAB14
A0A804HI88;F5GXD1,AKAP7
A0A804HIA0;P00367,GLUD1
A0A804HID8;Q9Y5W7;Q9Y5W7-3;Q9Y5W7-4;Q9Y5W7-2;A0A804HI51;A0A804HIK6;A0A804HJ61;A0A804HJ91;A0A804HKC6;A0A804HKJ3;A0A804HKZ1;D6RJG9;H0Y926;A0A804HI30;A0A804HI47;A0A804HIA1;A0A804HIR3;A0A804HJC6;A0A804HJG1;A0A804HL44;A0A804HKH6,SNX14
A0A804HIE8,DOCK9
A0A804HIE8;Q96BY6;Q96BY6-3;A0A2R8YD85,DOCK10;DOCK9
A0A804HIF1,FGFR1
A0A804HIF1;P22455-2;P22455;J3KPQ0,FGFR1;FGFR4
A0A804HIR9;A0A804HKQ1,MYCBP2
A0A804HIR9;A0A804HKQ1;O75592;O75592-2;A0A499FJI4;A0A804HL12,MYCBP2
A0A804HIT1;A0A804HIX1,ATXN7L2
A0A804HIZ7;O15550;A0A087X0R0;A0A6Q8PFD0;A0A6Q8PFK0;A0A6Q8PG92;A0A6Q8PGN0;A0A6Q8PHB6;A0A6Q8PHJ0;A0A804HJA2;F5H5V6;F5H6S1;F8W8R6,KDM6A
A0A804HJ64;O95630;A0A804HHU9;A0A804HJS0,STAMBP
A0A804HJ73;A0A804HKQ7,CEP63
A0A804HJA4,ECPAS
A0A804HJG7,CLASP2
A0A804HJU5;Q8NEZ4;Q8NEZ4-2;Q8NEZ4-3;A0A7P0TAI3,KMT2C
A0A804HJX8;J3KPF0,HECTD4
A0A804HJY1;Q9BX63;A0A804HL36,BRIP1
A0A804HKC3,PRRC2B
A0A804HKD7,RABGAP1L
A0A804HKE7,MAP4
A0A804HKE7;P27816-4,MAP4
A0A804HL97;P18074,ERCC2
A0A804HLG8;P42704;A0A804HI14;A0A804HIG4;A0A804HKI2;A0A804HKJ0,LRPPRC
A0A804HLJ0;P51659,HSD17B4
A0A8C8KGQ8,UBAP2
A0A8I5KNN2,DDX21
A0A8I5KNN2;Q9NR30,DDX21
A0A8I5KP47;Q07889;G5E9C8,SOS1
A0A8I5KPG1,SEC16A
A0A8I5KPG1;O15027;O15027-5;O15027-2;O15027-3;O15027-4;F1T0I1,SEC16A
A0A8I5KPH7,KDM5C
A0A8I5KPL4;Q9P0I2,EMC3
A0A8I5KU76,ERP44
A0A8I5KU76;Q9BS26,ERP44
A0A8I5KUW8,CWC27
A0A8I5KUW8;Q6UX04,CWC27
A0A8I5KV60,TAF2
A0A8I5KWQ7;O00522-3,KRIT1
A0A8I5KWQ7;Q16850,CYP51A1
A0A8I5KX04,PCF11
A0A8I5KX72,NKRF
A0A8I5KX72;O15226;O15226-2,NKRF
A0A8I5KXN4;Q02750;Q02750-2;A0A8I5KRX5,MAP2K1
A0A8I5KYV8;Q08378;A0A8I5KWY9,GOLGA3
A0A8I5KZ24,ATE1
A0A8I5KZ24;O95260;A0A8I5KNV5;A0A8I5KTH0;A0A8I5KWA6;A0A8I5KZ28,ATE1
A0A8I5QJH9;A0A8J9G7U8,EIF4G3
A0A8I5QJH9;A0A8J9G7U8;A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92,EIF4G3
A0A8I5QKV5;Q8NCA5;A0A8I5KR56;A0A8I5KZA5;E9PH82,FAM98A
